Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2024-05-10,521.8099975585938,522.6400146484375,519.5900268554688,520.8400268554688,508.46551513671875,52233200,SPY
2024-05-13,522.5599975585938,522.6699829101562,519.739990234375,520.9099731445312,508.5338134765625,36716400,SPY
2024-05-14,521.1099853515625,523.8300170898438,520.5599975585938,523.2999877929688,510.8670654296875,57535900,SPY
2024-05-15,525.8300170898438,530.0800170898438,525.1799926757812,529.780029296875,517.193115234375,59504900,SPY
2024-05-16,529.8800048828125,531.52001953125,528.5399780273438,528.6900024414062,516.12890625,50244800,SPY
2024-05-17,528.8099975585938,529.52001953125,527.3200073242188,529.4500122070312,516.8709716796875,59187600,SPY
2024-05-20,529.5700073242188,531.5599975585938,529.1699829101562,530.0599975585938,517.4664916992188,37764200,SPY
2024-05-21,529.280029296875,531.52001953125,529.0700073242188,531.3599853515625,518.7355346679688,33437000,SPY
2024-05-22,530.6500244140625,531.3800048828125,527.5999755859375,529.8300170898438,517.241943359375,48390000,SPY
2024-05-23,532.9600219726562,533.0700073242188,524.719970703125,525.9600219726562,513.4639282226562,57211200,SPY
2024-05-24,527.8499755859375,530.27001953125,526.8800048828125,529.4400024414062,516.8612060546875,41291100,SPY
2024-05-28,530.27001953125,530.510009765625,527.1099853515625,529.8099975585938,517.222412109375,36269600,SPY
2024-05-29,525.6799926757812,527.3099975585938,525.3699951171875,526.0999755859375,513.6005249023438,45190300,SPY
2024-05-30,524.52001953125,525.2000122070312,521.3300170898438,522.6099853515625,510.1934814453125,46377600,SPY
2024-05-31,523.5900268554688,527.5,518.3599853515625,527.3699951171875,514.8403930664062,90785800,SPY
2024-06-03,529.02001953125,529.3099975585938,522.5999755859375,527.7999877929688,515.2601928710938,46835700,SPY
2024-06-04,526.4600219726562,529.1500244140625,524.9600219726562,528.3900146484375,515.8361206054688,34632700,SPY
2024-06-05,530.77001953125,534.6900024414062,528.72998046875,534.6699829101562,521.9668579101562,47610400,SPY
2024-06-06,534.97998046875,535.4199829101562,532.6799926757812,534.6599731445312,521.9572143554688,30808500,SPY
2024-06-07,533.6599731445312,536.8900146484375,532.5399780273438,534.010009765625,521.3226318359375,43224500,SPY
2024-06-10,533.1799926757812,535.989990234375,532.5700073242188,535.6599731445312,522.933349609375,35686100,SPY
2024-06-11,534.0700073242188,537.010009765625,532.0499877929688,536.9500122070312,524.1927490234375,36383400,SPY
2024-06-12,541.6300048828125,544.1199951171875,540.2999877929688,541.3599853515625,528.4979248046875,63251300,SPY
2024-06-13,543.1500244140625,543.3300170898438,539.5900268554688,542.4500122070312,529.5620727539062,44760900,SPY
2024-06-14,540.8800048828125,542.8099975585938,539.8499755859375,542.780029296875,529.88427734375,40089900,SPY
2024-06-17,542.0800170898438,548.530029296875,541.6099853515625,547.0999755859375,534.1015625,55839500,SPY
2024-06-18,547.1599731445312,548.6199951171875,546.72998046875,548.489990234375,535.4586181640625,41376400,SPY
2024-06-20,549.4400024414062,550.1199951171875,545.1799926757812,547.0,534.0039672851562,70328200,SPY
2024-06-21,544.4000244140625,545.6500244140625,543.02001953125,544.510009765625,533.2880859375,64338600,SPY
